Id,Nom,Bibliothèque de formes,ID de page,Contenu par,Groupe,Source de la ligne,Destination de la ligne,Source de la flèche,Destination de la flèche,Labels,Statut,Zone de texte 1,Zone de texte 2,Zone de texte 3,Zone de texte 4,Zone de texte 5,Zone de texte 6,Zone de texte 7,Zone de texte 8,Zone de texte 9,Zone de texte 10,Zone de texte 11,Zone de texte 12,Zone de texte 13,Zone de texte 14,Zone de texte 15,Zone de texte 16,Zone de texte 17,Zone de texte 18,Zone de texte 19,Zone de texte 20,Zone de texte 21,Zone de texte 22,Zone de texte 23,Zone de texte 24,Zone de texte 25,Zone de texte 26,Zone de texte 27,Zone de texte 28,Zone de texte 29,Zone de texte 30,Zone de texte 31,Zone de texte 32,Zone de texte 33,Zone de texte 34,Zone de texte 35,Zone de texte 36,Zone de texte 37,Zone de texte 38,Zone de texte 39,Zone de texte 40,Zone de texte 41,Zone de texte 42,Zone de texte 43,Zone de texte 44,Zone de texte 45,Zone de texte 46,Zone de texte 47,Zone de texte 48,Zone de texte 49,Zone de texte 50,Zone de texte 51,Zone de texte 52,Zone de texte 53,Zone de texte 54,Zone de texte 55,Zone de texte 56,Zone de texte 57,Zone de texte 58,Commentaires,Notes,Identification de la forme,SpreadsheetColumnParentKey,SpreadsheetRowParentKey
13,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"catalogue_productconfig (CompanyOwned, AbstractAudit)",V1,id PK,bigint AUTO,V1,"company_id FK
(de CompanyOwned)",bigint,V1,product_id FK,bigint,V1,location_id FK,bigint,V1,product_packaging_id FK,bigint,V1,alert_threshold,decimal >=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KkzetVn5YwqO,COLUMN,ROW
14,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"catalogue_product (CompanyOwned, AbstractAudit)",POC,id PK,bigint AUTO,POC,"company_id FK
(de CompanyOwned)",bigint,POC,slug,varchar,POC,productmodel_id FK,bigint,V1,is_active,tinyint d=True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cNuh2nfd6i4K,COLUMN,ROW
15,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"catalogue_productfamily (TranslatableModel, CompanyOwned, AbstractAudit)",POC,id PK,bigint AUTO,POC,"company_id FK
(de CompanyOwned)",bigint,POC,slug,varchar,POC,  name,varchar,MVP,  description,longtext BLANK,V1,is_productvariant_on,tinyint d=False,V1,is_productpackaging_on,tinyint d=False,V1,is_active,tinyint d=True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9JseGwdLXt41,COLUMN,ROW
16,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,users_user (AbstractUser),POC,id PK,bigint,POC,password NATIF,varchar,POC,last_login NATIF,datetime,POC,is_superuser NATIF,tinyint,POC,username NATIF,varchar,POC,first_name NATIF,varchar,POC,last_name NATIF,varchar,POC,email NATIF,varchar,POC,is_staff NATIF,tinyint,POC,is_active NATIF,tinyint,POC,date_joined NATIF,datetime AUTO_NOW_ADD,POC,is_owner,tinyint d=False,POC,update_at,datetime AUTO_NOW_UPDATE,POC,created_by_id FK self,bigint NULLABLE d=NULL,POC,updated_by_id FK self,bigint NULLABLE d=NULL,V1,photo_id FK core.Image,bigint NULLABLE d=NULL,V1,preferred_language,enum,V1,preferred_home_page,enum,V1,preferred_company_id FK,bigint NULLABLE d=NULL,,,9Jseh16eBw0F,COLUMN,ROW
17,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"company_company (TranslatableModel, AbstractAudit)",POC,id PK,bigint,POC,official_name,varchar,POC,slug,varchar,POC,  name,varchar,V1,logo_id FK core.Image,bigint NULLABLE d=NULL,V1,accept_negative_stock,tinyint d=False,V1,translation_mode,enum d=DISABLED,POC,is_active,tinyint d=True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9Jse575XVdt2,COLUMN,ROW
18,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,users_userrole,POC,id PK,bigint AUTO,POC,user_id FK,bigint,POC,role_id FK,bigint,POC,company_id FK,bigint NULLABLE d=NULL,POC,location_id FK,bigint NULLABLE d=NULL,POC,is_active,tinyint d=True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9Jse0W8CxnqK,COLUMN,ROW
19,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"company_location (TranslatableModel, CompanyOwned, AbstractAudit, MP_Node)",POC,id PK,bigint,POC,"company_id FK 
(de CompanyOwned)",bigint ,POC,slug,varchar,POC,  name,varchar,MVP,location_type_id FK,bigint,MVP,is_stockable,tinyint NULLABLE d=NULL,V1,image_id FK core.Image,bigint NULLABLE d=NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9Jse1iFPTKyv,COLUMN,ROW
20,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,inventory_stock (CompanyOwned),POC,id PK,bigint AUTO,POC,"company_id FK
(de CompanyOwned)",bigint,POC,product_id FK,bigint,POC,location_id FK,bigint,POC,product_packaging_id FK ,bigint,POC,pack_quantity,decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9JsexPQIzGuX,COLUMN,ROW
21,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"inventory_movement (CompanyOwned, AbstractAudit)",POC,id PK,bigint AUTO,POC,uuid,UUID Field,POC,stock_id FK,bigint,POC,"company_id FK
(de CompanyOwned)",bigint NULLABLE,POC,product_id FK,bigint NULLABLE,POC,location_source_id FK,bigint NULLABLE,POC,location_dest_id FK,bigint NULLABLE,POC,productpackaging_source_id FK,bigint NULLABLE,POC,productpackaging_dest_id FK,bigint NULLABLE,POC,pack_quantity_init,decimal,POC,pack_quantity_final,decimal,POC,pack_quantity_delta,decimal,POC,ref_quantity_init,decimal,POC,ref_quantity_final,decimal,POC,ref_quantity_delta,decimal,POC,reason_id FK,bigint NULLABLE,MVP,snap_infos,JSON Field,POC,created_by_comment,text NULLABLE d=NULL BLANKABLE,,,,"[{""Résolu(s)"":true,""Commentaires"":[{""Horodatage"":""2026-07-24T20:44:20.000Z"",""Créateur"":""Caroline Guénette"",""Contenu"":""TODO Les champs product_id et company_id sont-ils vraiment nécessaires considérant qu'on fait référence à stock_id? Pour performance peut-être?""}]}]",,9Jse7Oj64AYR,COLUMN,ROW
22,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,core_settings,V1,id PK,bigint AUTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0HeeU9C4rGZ,COLUMN,ROW
23,Rectangle,Formes Lucidspark,2,3,,,,,,,,"LÉGENDE
Plus de détails : database-models.md ⬀
                                                                                   
Colonne 1: Fonction complète à partir de la version...                                                                                                                       
POC  Proof of Concept
MVP  Minimal Viable Product
V1      Première version complète
VX     Version future (fonctionnalité envisagée                     
              mais non planifiée)
Colonne 2: nom du champs 
       Champs traduisible (TranslatableModel)
nom souligné    Champs UNIQUE (together ou non)
nom en italique Champs INDEXÉ
PK/FK                 Primary / Foreign Key
Colonne 3: type du champs et propriétés
AUTO                  Auto increment
NULLABLE
d=                       Default Value
>                         Champs ne pouvant pas être                             négatif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iKKe8Tr6JWQ1,COLUMN,ROW
24,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"company_locationtype (TranslatableModel, CompanyOwned)",MVP,id PK,int,MVP,"company_id FK 
(de CompanyOwned)",bigint,MVP,slug,varchar,MVP,  name,varchar,MVP,  description,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4k2eBCukHOL6,COLUMN,ROW
25,Rectangle,Formes Lucidspark,2,3,,,,,,,,"DATABASE VERSION: 0.18
Voir aussi database-models.md⬀",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pNsgIWK5uDpt,COLUMN,ROW
26,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,access_role (TranslatableModel),POC,id PK,int AUTO,POC,slug,varchar,POC,company_id FK,bigint NULLABLE,POC,  name,varchar,POC,  description,text,POC,is_active,tinyint d=True,POC,manage_by_id FK,bigint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lC9gM6Q2wjNf,COLUMN,ROW
27,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,access_rolepermissions,POC,id PK,int AUTO,POC,role_id FK,int,POC,permission_id FK,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lC9g4wgOuihH,COLUMN,ROW
28,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,access_permission (TranslatableModel),POC,id PK,int AUTO,POC,codename,varchar,POC,  name,varchar,POC,  help_text,"text NULLABLE, BLANKABLE d=null",POC,context,enum,POC,sensibility,enum,POC,category,enum,POC,is_active,tinyint d=True,POC,display_order,int d=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lC9guC2ESCrn,COLUMN,ROW
29,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"core_image (TranslatableModel, AbstractAudit)",V1,id PK,bigint AUTO,V1,image,varchar ImageField,V1,  alt_text,varchar NULLABLE BLANKABLE d=NULL,V1,  legend,varchar NULLABLE BLANKABLE d=NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PtvhK1lus-bf,COLUMN,ROW
30,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,core.AbstractAudit (Abstract True),POC,created_at,datetime AUTO_NOW_ADD,POC,updated_at,datetime AUTO_NOW,MVP,created_by_id FK,bigint NULLABLE,MVP,updated_by_id FK,bigint NULLABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cIzh_TLo17Pl,COLUMN,ROW
31,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,users_userrolelog,MVP,id PK,bigint AUTO,MVP,uuid,UUIDField,MVP,user_role_id FK,bigint NULLABLE,MVP,user_id FK,bigint NULLABLE,MVP,role_id FK,bigint NULLABLE,MVP,company_id FK,bigint NULLABLE,MVP,location_id FK,bigint NULLABLE,MVP,changed_at,datetime AUTO_NOW_ADD,MVP,changed_by_id FK User,bigint,MVP,action,enum,MVP,snap_infos,JSONField,,,,,,,,,,,,,,,,,,,,,,,,,,,s7zh2L9jTU~S,COLUMN,ROW
32,Rectangle,Formes Lucidspark,2,3,,,,,,,,"action ENUM
CREATE
UPDATE
DELETE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8zh4MtegneE,COLUMN,ROW
33,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,access_log,MVP,id PK,bigint AUTO,MVP,uuid,UUIDField,MVP,target_table,enum,MVP,target_id,bigint,MVP,role_id FK,bigint NULLABLE,MVP,action,ENUM,MVP,changed_at,datetime AUTO_NOW_ADD,MVP,changed_by_id FK,bigint NULLABLE,MVP,snap_infos,JSONField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OdAhNoDJkqMa,COLUMN,ROW
34,Rectangle,Formes Lucidspark,2,3,,,,,,,,"action ENUM
CREATE
UPDATE
DELETE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joAhVEcw0sVi,COLUMN,ROW
35,Rectangle,Formes Lucidspark,2,3,,,,,,,,"LIBRAIRIES TIERCES
Arbre:  django-treebeard sera utilisé pour gérer les arbres de manière optimisée avec la classe MP_Node (company -> Location et catalogue -> Category)

Traduction des données dynamique: django-parler (classe TranslatableModel). Les données dynamiques devant être traduites sont marquées par le symbole   devant le nom du champs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iDDhtULl~g33,COLUMN,ROW
36,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"inventory_movementreason (TranslatableModel, CompanyOwned, AbstractAudit)",V1,id PK,bigint AUTO,V1,"company_id FK
(de CompanyOwned)",bigint,V1,slug,varchar,V1,  name,varchar,V1,permission_required_id FK,varchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ik0h65pzSUmF,COLUMN,ROW
37,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,inventory_transit (CompanyOwned),V1,id PK,bigint AUTO,V1,uuid,UUIDField,V1,source_company_name,varchar,V1,source_location_parent_name,varchar,V1,source_product_name,varchar,V1,source_product_description,text,V1,source_infos,JSONField,V1,source_pack_quantity_send,decimal,Clé,source_comment,text NULLABLE. BLANKABLE,V1,source_created_at,datetime AUTO_NOW_ADD,V1,product_sku,varchar,V1,"company_id FK = destination
(de CompanyOwned)",bigint,V1,dest_pack_quantity_received,decimal NULLABLE d=NULL,V1,status,enum,V1,dest_comment,text NULLABLE. BLANKABLE,,,,,,,,,,,,,,,9y7hVVKEDpXo,COLUMN,ROW
38,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"company_uom (TranslatableModel, CompanyOwned, AbstractAudit)",MVP,id PK,bigint AUTO,MVP,"company_id FK 
(de CompanyOwned)",bigint,MVP,type,enum,MVP,system,enum,MVP,  name,varchar,MVP,  code,varchar,MVP,is_reference,tinyint,MVP,ratio,decimal,MVP,is_active,tinyint d=True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMFijehsMuKz,COLUMN,ROW
39,Rectangle,Formes Lucidspark,2,3,,,,,,,,"type ENUM
UNIT
WEIGHT
LENGTH
VOLUME
AREA
TIME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMFiObEH.~6v,COLUMN,ROW
40,Rectangle,Formes Lucidspark,2,3,,,,,,,,"system ENUM
IMPERIAL
METRIC
NONE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VQFi.Cqc3KE8,COLUMN,ROW
41,Rectangle,Formes Lucidspark,2,3,,,,,,,,"sensibility ENUM
HIGH
MEDIUM
LOW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~zNieaRpaiSh,COLUMN,ROW
42,Rectangle,Formes Lucidspark,2,3,,,,,,,,"context ENUM
SYSTEM
COMPANY
MULTI_COMPANIES
LOCATION
MULTI_LOCATIONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QU4iaZm3iRMZ,COLUMN,ROW
43,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"users_userhierarchy (MP_Node, AbstractAudit)",POC,id PK,bigint AUTO,POC,user_id FK,bigint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nQ_iC81UQLAg,COLUMN,ROW
44,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,scope.CompanyOwned (Abstract True),POC,companie_ID FK,bigint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JR9kxvhPZYTM,COLUMN,ROW
45,SparkFrameBlock,Formes Lucidspark,2,,,,,,,,,DATABASE EXTENSIONS Stock Management multi-companies - Django Web App,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZ-g15YhrJNO,,
46,SparkFrameBlock,Formes Lucidspark,2,45,,,,,,,,Intégration de l'utilisation de scanneur de codebar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuTiDdptRgGO,,
