Id,Nom,Bibliothèque de formes,ID de page,Contenu par,Groupe,Source de la ligne,Destination de la ligne,Source de la flèche,Destination de la flèche,Labels,Statut,Zone de texte 1,Zone de texte 2,Zone de texte 3,Zone de texte 4,Zone de texte 5,Zone de texte 6,Zone de texte 7,Zone de texte 8,Zone de texte 9,Zone de texte 10,Zone de texte 11,Zone de texte 12,Zone de texte 13,Zone de texte 14,Zone de texte 15,Zone de texte 16,Zone de texte 17,Zone de texte 18,Zone de texte 19,Zone de texte 20,Zone de texte 21,Zone de texte 22,Zone de texte 23,Zone de texte 24,Zone de texte 25,Zone de texte 26,Zone de texte 27,Zone de texte 28,Zone de texte 29,Zone de texte 30,Zone de texte 31,Zone de texte 32,Zone de texte 33,Zone de texte 34,Zone de texte 35,Zone de texte 36,Zone de texte 37,Zone de texte 38,Zone de texte 39,Zone de texte 40,Zone de texte 41,Zone de texte 42,Zone de texte 43,Zone de texte 44,Zone de texte 45,Zone de texte 46,Zone de texte 47,Zone de texte 48,Zone de texte 49,Zone de texte 50,Zone de texte 51,Zone de texte 52,Zone de texte 53,Zone de texte 54,Zone de texte 55,Zone de texte 56,Zone de texte 57,Zone de texte 58,Commentaires,Notes,Identification de la forme,SpreadsheetColumnParentKey,SpreadsheetRowParentKey
64,"Entité (clé, champ, type)",Entité-Association,2,45|53,,,,,,,,account_TODO,VX,id PK,bigint AUTO,VX,user_id FK,bigint NULLABLE,VX,name,varchar,VX,TODO,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LbOhg0B0wkhr,COLUMN,ROW
65,Tableau,Tableaux,2,,,,,,,,,company_uom (Données exemple),id,company,type,system,name,code,is_ref,ratio,1,1,UNIT,NONE,Unité,ch.,True,1.0,2,1,WEIGHT,METRIC,Gramme,g,True,1.0,3,1,WEIGHT,METRIC,Kilogramme,kg,False,1000.0,4,2,UNIT,NONE,Unité,ch.,True,1.0,5,2,WEIGHT,METRIC,Gramme,g,True,1.0,,,,,,,,,,,,CMFie8A-w1Sx,,
66,Tableau,Tableaux,2,,,,,,,,,catalogue_productpackaging (Données exemple),id,company,product,name,code,base_uom,ratio,1,2,1 (Oeufs),Demi-douzaine,B06,4 (Unité),6.0,6,2,1 (Oeufs),Douzaine,B12,4 (Unité),12.0,2,2,1 (Oeufs),Caissette de 30 oeufs,C30,4 (Unité),30.0,3,2,1 (Oeufs),Boîte (12 douzaines),,4 (Unité),144.0,7,2,1 (Oeufs),Boîte (5 caissettes),,4 (Unité),150.0,4,2,2 (Farine),Sac de 5kg,ch.,5 (Gramme),5000.0,5,2,2 (Farine),Sac de 20kg,ch.,5 (Gramme),20000.0,,,,q-FiF-wmDq_E,,
67,"Entité (clé, champ, type)",Entité-Association,2,45|53,,,,,,,,company_company (AbstractAudit),NEW,account_id FK,bigint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RrTiIxXMu1iK,COLUMN,ROW
68,"Entité (clé, champ, type)",Entité-Association,2,45|46,,,,,,,,"company_location (AbstractAudit, MP_Node)",NEW,barcode,varchar NULLABLE d=NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ywTiKqaTW8Oq,COLUMN,ROW
69,"Entité (clé, champ, type)",Entité-Association,2,45|46,,,,,,,,catalogue_product (AbstractAudit),NEW,barcode,varchar NULLABLE d=NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fyTiu1T8VTF5,COLUMN,ROW
70,"Entité (clé, champ, type)",Entité-Association,2,45|46,,,,,,,,catalogue_productpackaging (AbstractAudit),NEW,barcode,varchar NULLABLE d=NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WzTiDjc~UFOe,COLUMN,ROW
71,Texte,Standard,2,45|49,,,,,,,,"Ajout du suivi par lots (batch), numéros de série (serial number), dates d'expiration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kFTi-WPB9X0j,,
72,"Entité (clé, champ, type)",Entité-Association,2,45|46,,,,,,,,inventory_transit,NEW,transit_barcode,varchar,NEW,product_barcode,varchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WnUie2Rxf.s6,COLUMN,ROW
73,Texte,Standard,2,45|51,,,,,,,,Quels produits sont réservés ou en attente de traitement?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dv2ihY7u21ac,,
